Title,Description,Duration,Genre
14. Hamilton (2020),"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",160 min,"Biography, Drama, History"
15. The Lord of the Rings: The Two Towers (2002),"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",179 min,"Action, Adventure, Drama"
16. The Matrix (1999),"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",136 min,"Action, Sci-Fi"
17. Goodfellas (1990),"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",146 min,"Biography, Crime, Drama"
18. Star Wars: Episode V - The Empire Strikes Back (1980),"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",124 min,"Action, Adventure, Fantasy"
19. One Flew Over the Cuckoo's Nest (1975),"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",133 min,Drama
20. Parasite (2019),Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,132 min,"Comedy, Drama, Thriller"
21. Interstellar (2014),A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,169 min,"Adventure, Drama, Sci-Fi"
22. City of God (2002),"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",130 min,"Crime, Drama"
23. Spirited Away (2001),"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",125 min,"Animation, Adventure, Family"
24. Saving Private Ryan (1998),"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",169 min,"Drama, War"
25. The Green Mile (1999),"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",189 min,"Crime, Drama, Fantasy"
26. Life Is Beautiful (1997),"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",116 min,"Comedy, Drama, Romance"
27. Se7en (1995),"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",127 min,"Crime, Drama, Mystery"
28. The Silence of the Lambs (1991),"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",118 min,"Crime, Drama, Thriller"
29. Star Wars: Episode IV - A New Hope (1977),"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",121 min,"Action, Adventure, Fantasy"
